Initiative Code,Initiative Name,website id
KE-259,Karobia Njai,477752
LK-002,Robin Hood Army,478852
LK-005,Eko Land,478952
LK-007,Seashore Garden,479052
LK-008,Honest Greens,479152
LT-001,DELOITTE,
LT-002,NORDIC_COUNCIL,
MA-001,Ferme mama Ghaia,442552
MA-003,Cooperative Agricole et Oléicole Ariaf Kissane,478052
MA-005,zitouna life,442652
MA-009,Epices et traditions,442752
MA-013,"Ferme Soultana, Petit Radis et Iriichka",442852
MA-014,Chez Meryama,442952
MA-015,Facyla ferme,453052
MA-016,Mouzouna Poulaillers,478152
MA-017,RIAM,
MA-018,Ferme expérimentale à Souss Massa,453152
MA-019,Agroconcept,
MA-022,High Atlas Foundation,478252
MA-026,niya,495152
MA-027,Terre & Humanisme Maroc,478352
MX-001,NUUP,504252
MX-002,De la Chinampa,504352
MX-005,Huerto Roma Verde,504452
MX-006,Mercado Alternativo de Tlalpan,504552
MX-007,Milpa Azul,504652
MX-008,Centro de Desarrollo Indígena Loyola (CDIL),504752
MX-010,Cerro verde,504852
MX-011,Red socioambiental Amealco,504952
MX-016,INVOMEX,
MX-018,Mux,505052
MX-019,Del comalli,505152
MX-020,Hagamos composta,505252
MX-024,Banco de leche,505352
MX-027,EcoScience Lab,505452
MX-031,Padre Huerto,505552
MX-032,Bioflora,505652
MX-034,Ixti,505752
MX-036,Solar,505852
MX-037,CIDPRO,505952
MX-039,microTERRA,506052
MX-040,Instituto de emprendimiento Eugenio Garza Lagüera,506152
MX-044,Velozbio,506252
MX-045,Tierra de todos,506352
MX-046,El buen socio,506452
MX-047,Arca Tierra,506552
MX-051,Apical Biotech,506652
MX-053,Cosechando Soberania,506752
MX-054,Liga de la leche,506852
MX-055,CEPROBI,506952
MX-060,Sierra Encantada,507052
NZ-002,TE KAKANO,440052
PE-001,Huerta PELCAN,496552
PE-002,CCORI,496652
PE-010,Greencycle,496752
PE-011,Agrayu,496852
PE-012,Cirkula,496952
PE-033,FUNGIVORO,497052
PE-038,Nuwa Muun by Machu Picchu Foods,497152
PE-040,SpiruX,482652
PE-061,Abejita Perú,497252
PE-073,Santa Perucha,497352
PE-092,BioFlash,497452
PE-095,Tarwifoods,497552
PE-109,Chandrika,482752
PE-112,Tara,497652
PE-130,Shawi,497752
PE-131,Biomateriales,482852
PE-132,Preservados,507152
PE-133,Chacra Mil,482952
PE-145,Cocina Optimista/Cocina Optima,493052
PE-147,Huevos para el Ande: Seguridad Alimentaria en Comunidades Rurales,507252
PE-151,Frigorifico MANU,493152
PE-159,La Chacra de D'dago,497852
PE-161,Sembrando hábitos y cosechando salud en preescolares: programa integral de nutrición y sostenibilidad.,493252
PE-162,Mosca soldado negra,497952
PE-163,Mucilago atomizado de Sanky y su aplicación como aditivo en procesos alimentarios,493352
PE-164,Genipina del Huito y su uso como aditivo en la industria alimentaria,498052
PE-165,Bioproductos del jengibre peruano,
PE-168,Desarrollo de micro y nano aditivos funcionales para la industria alimentaria a partir de residuos del cacao.,498152
PE-169,Dosojin,498252
PE-176,EVANDS,493552
PE-179,Qumir Sunqu,493652
PE-181,Hidrotec Sothelo,493752
PE-191,Proyecto La Panadería El Tacarpino,498352
PE-204,BNS : Bio Natural Solutions,493852
PE-217,Caliente Café,493952
PE-219,Boss woman,494052
PE-229,TUCUY,494152
PE-246,TANGARA CAFE,507352
PE-259,RESTO-ZERO,494252
PE-275,Caracterización y extracción de antioxidantes de la papa nativa,494352
PE-276,SI HUYRO: Innovación Sostenible para Transformar Territorios,507452
PH-002,Good Food Community,507552
PH-011,7 Hectares,507652
PL-001,Bazar natury,470352
PL-005,Eko Spichlerz,470452
PL-006,"Avocado vegan STORE & MORE, Avocado vegan BISTRO",449752
PL-008,Fundacja Twoja Rola / Manufaktura Sitowie Gardens,449852
PL-016,Norwida 2 Concept,449952
PY-001,Mboja'o,457752
PY-002,ECO AGRO Naturalmente,507752
PY-005,Banco de Alimentos Paraguay,457852
PY-006,Tu Kokue,507852
PY-008,High Farm,457952
PY-014,Ñandete,507952
RW-012,Green Walker Farm,477852
RW-014,Incuti Foods,477952
RW-017,Uruhimbi Kageyo Cooperative,494952
TZ-005,Drive Inn Group,462752
TZ-009,BioBuu | Recycler,462852
UG-010,Zoe Farms,462452
UG-014,Slow Food Uganda,462552
UG-021,Teso Women Development Initiative (TEWDI),462652
US-018,Mad Agriculture,478452
US-019,Drylands Agroecology Research,495452
US-022,The Colorado Grain Train,478552
US-065,Compost for Life,508052
US-068,Overtown Green Haven Project,508152
US-070,Philly Food Rescue,508252
US-083,Circular Philadelphia,508352
WL-001,Bwyd Sir Gâr Food Local Food Partnership,470252
ZA-001,Compassionate Hearts (Touwsrivier),508452
ZA-002,Touwsrivier Commercial Hydroponic Farm,508552
ZA-003,,508652
ZA-004,Siyahluma Creche,508752
ZA-005,,508852
ZA-006,,508952
ZA-007,,509052
ZA-008,,509152
ZA-010,"Glen Heatlie Primary School, Worcester",509252
ZA-012,Siyazama Klipland Table Grapes Farm,509352
ZA-015,Khulisa Food and Nutrition NPO,509452
ZA-017,Hexvalley Vegetables and Agri Services,509552
ZA-019,Zwelethemba Pig Farming,509652
ZA-023,"Imdawo-Ekuhle Pty Ltd operates Vergelegen Farm,",509752
ZA-024,Julian May,
ZA-025,The Do More Foundation (DMF,509852
ZA-027,Matroosberg Karoo,509952
ZA-028,The Sundum Farm/ Riverland Whole Unity Farm Touwsriver,510052
ZA-029,"Sarel and Hettie Pool Welwillendheidstrust (Pool Family Trust), Breede Valley",510152
ZA-031,FoodForward South Africa (FFSA),510252
ZA-032,"De Hoop Boerdery (De Hoop Farm), Breede Valley",510352
ZA-033,Pool Transport,510452
ZA-034,Lucentlands Media,510552
ZA-035,The Gift of the Givers Foundation,510652
ZA-036,The Cape Town Market,510752
ZA-038,Women on Farms Project (WFP),510852
ZA-040,Making KOS,510952
